Model,Metric,Value,Alpha,Confidence Interval,p-value,ANOVA with bonferroni collection p-value
inceptionResNetV2,Accuracy,0.6965811965811965,80.0,0.040957565016996766,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Accuracy,0.6965811965811965,85.0,0.04602779255497613,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Accuracy,0.6965811965811965,90.0,0.05262866768003416,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Accuracy,0.6965811965811965,95.0,0.062787720197656,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Accuracy,0.6965811965811965,97.5,0.0718952577026073,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Accuracy,0.6965811965811965,99.0,0.08276612236082825,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Accuracy,0.6965811965811965,99.5,0.0903165113716321,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Accuracy,0.6965811965811965,99.9,0.10621121583410642,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Sensitivity,0.6923076923076923,80.0,0.03866660615613782,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Sensitivity,0.6923076923076923,85.0,0.0434331305369593,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Sensitivity,0.6923076923076923,90.0,0.049628051720884137,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Sensitivity,0.6923076923076923,95.0,0.05913547102431249,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Sensitivity,0.6923076923076923,97.5,0.06762696003477942,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Sensitivity,0.6923076923076923,99.0,0.0777171827365678,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Sensitivity,0.6923076923076923,99.5,0.08469301751537861,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Sensitivity,0.6923076923076923,99.9,0.0992808284844735,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Specificity,0.6978021978021978,80.0,0.03847157567681714,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Specificity,0.6978021978021978,85.0,0.04321405818722113,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Specificity,0.6978021978021978,90.0,0.04937773281066493,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Specificity,0.6978021978021978,95.0,0.05883719764567252,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Specificity,0.6978021978021978,97.5,0.06728585643811691,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Specificity,0.6978021978021978,99.0,0.0773251850696568,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Specificity,0.6978021978021978,99.5,0.08426583443821767,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,Specificity,0.6978021978021978,99.9,0.09878006595340194,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,F1 Score,0.5034965034965035,80.0,0.0418877990965999,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,F1 Score,0.5034965034965035,85.0,0.04705140758208881,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,F1 Score,0.5034965034965035,90.0,0.053762408100822584,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,F1 Score,0.5034965034965035,95.0,0.06406186050429977,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,F1 Score,0.5034965034965035,97.5,0.07326074866803287,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,F1 Score,0.5034965034965035,99.0,0.08419155598186201,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,F1 Score,0.5034965034965035,99.5,0.09174852554277904,8.296618621988492e-05,0.2424619337408715
inceptionResNetV2,F1 Score,0.5034965034965035,99.9,0.10755160100963446,8.296618621988492e-05,0.2424619337408715
efficientNetB2,Accuracy,0.7777777777777778,80.0,0.03906800778946928,0.021846269590094742,0.2424619337408715
efficientNetB2,Accuracy,0.7777777777777778,85.0,0.04390432286010304,0.021846269590094742,0.2424619337408715
efficientNetB2,Accuracy,0.7777777777777778,90.0,0.05020066984010696,0.021846269590094742,0.2424619337408715
efficientNetB2,Accuracy,0.7777777777777778,95.0,0.059891039439163185,0.021846269590094742,0.2424619337408715
efficientNetB2,Accuracy,0.7777777777777778,97.5,0.06857840515630642,0.021846269590094742,0.2424619337408715
efficientNetB2,Accuracy,0.7777777777777778,99.0,0.07894774779104063,0.021846269590094742,0.2424619337408715
efficientNetB2,Accuracy,0.7777777777777778,99.5,0.08614980329812949,0.021846269590094742,0.2424619337408715
efficientNetB2,Accuracy,0.7777777777777778,99.9,0.10131121334517612,0.021846269590094742,0.2424619337408715
efficientNetB2,Sensitivity,0.7115384615384616,80.0,0.037955201790802806,0.021846269590094742,0.2424619337408715
efficientNetB2,Sensitivity,0.7115384615384616,85.0,0.042634029665799544,0.021846269590094742,0.2424619337408715
efficientNetB2,Sensitivity,0.7115384615384616,90.0,0.048714974103087894,0.021846269590094742,0.2424619337408715
efficientNetB2,Sensitivity,0.7115384615384616,95.0,0.058047471936340744,0.021846269590094742,0.2424619337408715
efficientNetB2,Sensitivity,0.7115384615384616,97.5,0.0663827309863646,0.021846269590094742,0.2424619337408715
efficientNetB2,Sensitivity,0.7115384615384616,99.0,0.07628730955770435,0.021846269590094742,0.2424619337408715
efficientNetB2,Sensitivity,0.7115384615384616,99.5,0.08313480001548879,0.021846269590094742,0.2424619337408715
efficientNetB2,Sensitivity,0.7115384615384616,99.9,0.09745421834722134,0.021846269590094742,0.2424619337408715
efficientNetB2,Specificity,0.7967032967032966,80.0,0.03371643372755173,0.021846269590094742,0.2424619337408715
efficientNetB2,Specificity,0.7967032967032966,85.0,0.03787273859557572,0.021846269590094742,0.2424619337408715
efficientNetB2,Specificity,0.7967032967032966,90.0,0.043274574192467274,0.021846269590094742,0.2424619337408715
efficientNetB2,Specificity,0.7967032967032966,95.0,0.05156483560226521,0.021846269590094742,0.2424619337408715
efficientNetB2,Specificity,0.7967032967032966,97.5,0.058969228046575894,0.021846269590094742,0.2424619337408715
efficientNetB2,Specificity,0.7967032967032966,99.0,0.06776768125571753,0.021846269590094742,0.2424619337408715
efficientNetB2,Specificity,0.7967032967032966,99.5,0.07385045640449506,0.021846269590094742,0.2424619337408715
efficientNetB2,Specificity,0.7967032967032966,99.9,0.08657070808066825,0.021846269590094742,0.2424619337408715
efficientNetB2,F1 Score,0.5873015873015872,80.0,0.04124536425153291,0.021846269590094742,0.2424619337408715
efficientNetB2,F1 Score,0.5873015873015872,85.0,0.04632977826777529,0.021846269590094742,0.2424619337408715
